ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0101005	Deubiquitinase activity	17/2969	79/14597	0.215189873417722	1.057974598275	0.26107627773131	0.441178201988284	0.999999862227987	0.961263786856635	LOC_00024869/LOC_00024718/LOC_00014002/LOC_00013961/LOC_00024312/LOC_00021046/LOC_00004909/LOC_00006973/LOC_00008715/LOC_00011109/LOC_00009931/LOC_00015716/LOC_00017545/LOC_00014500/LOC_00010797/LOC_00022765/LOC_00010012	17
GO:0003924	GTPase activity	55/2969	264/14597	0.208333333333333	1.02426462332997	0.201037225315449	0.444983297026869	0.999999862227987	0.961263786856635	LOC_00012776/LOC_00016775/LOC_00019485/LOC_00004404/LOC_00009696/LOC_00010373/LOC_00025440/LOC_00002636/LOC_00025318/LOC_00026010/LOC_00018920/LOC_00007103/LOC_00003654/LOC_00013977/LOC_00008121/LOC_00025135/LOC_00017023/LOC_00015669/LOC_00021853/LOC_00018650/LOC_00003565/LOC_00008049/LOC_00005645/LOC_00006551/LOC_00000859/LOC_00009488/LOC_00016771/LOC_00013275/LOC_00014363/LOC_00010262/LOC_00011034/LOC_00000813/LOC_00007479/LOC_00019312/LOC_00004203/LOC_00016195/LOC_00008619/LOC_00014183/LOC_00011594/LOC_00019101/LOC_00024187/LOC_00017014/LOC_00015659/LOC_00010245/LOC_00015680/LOC_00012360/LOC_00005296/LOC_00005339/LOC_00007261/LOC_00020384/LOC_00025466/LOC_00018680/LOC_00011310/LOC_00007167/LOC_00007429	55
GO:0019888	Protein phosphatase regulator activity	12/2969	55/14597	0.218181818181818	1.07268440552375	0.272885231231761	0.445204002480921	0.999999862227987	0.961263786856635	LOC_00025706/LOC_00003932/LOC_00003711/LOC_00013835/LOC_00012829/LOC_00003557/LOC_00000112/LOC_00006779/LOC_00025431/LOC_00007188/LOC_00017529/LOC_00002786	12
GO:0016779	Nucleotidyltransferase activity	25/2969	118/14597	0.211864406779661	1.04162504067454	0.229401316056388	0.445660784208549	0.999999862227987	0.961263786856635	LOC_00009652/LOC_00022609/LOC_00003398/LOC_00002683/LOC_00005308/LOC_00023529/LOC_00006162/LOC_00019643/LOC_00012271/LOC_00020438/LOC_00007979/LOC_00004905/LOC_00008148/LOC_00003660/LOC_00018433/LOC_00004955/LOC_00008110/LOC_00013260/LOC_00003928/LOC_00024413/LOC_00006785/LOC_00006303/LOC_00019331/LOC_00006133/LOC_00011104	25
GO:0032934	Sterol binding	7/2969	31/14597	0.225806451612903	1.11017068851248	0.310274634197511	0.447837659290784	0.999999862227987	0.961263786856635	LOC_00011514/LOC_00013219/LOC_00015049/LOC_00015350/LOC_00002383/LOC_00007825/LOC_00019717	7
GO:0008173	RNA methyltransferase activity	13/2969	60/14597	0.216666666666667	1.06523520826316	0.255852578261183	0.449656686155064	0.999999862227987	0.961263786856635	LOC_00021783/LOC_00020952/LOC_00025234/LOC_00002680/LOC_00008964/LOC_00022601/LOC_00002326/LOC_00024269/LOC_00008972/LOC_00015643/LOC_00012355/LOC_00012481/LOC_00018590	13
GO:0046873	Metal ion transmembrane transporter activity	77/2969	372/14597	0.206989247311828	1.01765646446977	0.174308510521604	0.451784023159759	0.999999862227987	0.961263786856635	LOC_00020798/LOC_00007947/LOC_00002337/LOC_00020235/LOC_00013890/LOC_00004320/LOC_00012934/LOC_00013086/LOC_00020507/LOC_00015802/LOC_00011680/LOC_00006897/LOC_00005448/LOC_00015392/LOC_00006957/LOC_00009852/LOC_00007427/LOC_00021294/LOC_00016093/LOC_00019847/LOC_00008140/LOC_00024660/LOC_00014657/LOC_00008097/LOC_00012539/LOC_00020351/LOC_00024392/LOC_00025209/LOC_00013395/LOC_00019790/LOC_00007071/LOC_00002462/LOC_00007040/LOC_00012226/LOC_00006342/LOC_00006238/LOC_00023846/LOC_00010896/LOC_00005019/LOC_00008400/LOC_00011311/LOC_00014153/LOC_00012333/LOC_00005976/LOC_00021247/LOC_00021209/LOC_00025069/LOC_00003014/LOC_00002539/LOC_00016656/LOC_00013056/LOC_00018714/LOC_00023966/LOC_00024889/LOC_00024256/LOC_00025391/LOC_00005846/LOC_00005354/LOC_00009436/LOC_00003503/LOC_00004629/LOC_00009985/LOC_00024040/LOC_00014803/LOC_00008228/LOC_00014792/LOC_00002693/LOC_00018258/LOC_00011706/LOC_00022892/LOC_00012933/LOC_00023067/LOC_00022538/LOC_00021645/LOC_00002529/LOC_00015343/LOC_00012937	77
GO:0019787	Ubiquitin-like protein transferase activity	69/2969	333/14597	0.207207207207207	1.01872805779845	0.174688255276852	0.45276930381064	0.999999862227987	0.961263786856635	LOC_00002876/LOC_00006432/LOC_00008440/LOC_00014227/LOC_00017043/LOC_00017062/LOC_00008657/LOC_00017424/LOC_00005633/LOC_00017589/LOC_00011713/LOC_00000329/LOC_00012382/LOC_00005827/LOC_00018541/LOC_00012219/LOC_00002330/LOC_00009948/LOC_00009909/LOC_00008378/LOC_00006434/LOC_00015760/LOC_00011949/LOC_00018044/LOC_00025592/LOC_00025453/LOC_00008774/LOC_00020456/LOC_00020619/LOC_00021309/LOC_00003069/LOC_00006987/LOC_00024165/LOC_00012283/LOC_00006221/LOC_00003312/LOC_00005150/LOC_00011926/LOC_00011708/LOC_00013763/LOC_00003650/LOC_00017302/LOC_00011698/LOC_00017966/LOC_00017236/LOC_00020613/LOC_00005464/LOC_00008138/LOC_00019435/LOC_00014887/LOC_00014263/LOC_00000240/LOC_00011331/LOC_00011902/LOC_00013918/LOC_00007645/LOC_00006122/LOC_00010172/LOC_00019056/LOC_00011463/LOC_00024969/LOC_00021291/LOC_00011707/LOC_00019710/LOC_00000904/LOC_00020398/LOC_00015739/LOC_00011333/LOC_00010253	69
GO:0001640	Adenylate cyclase inhibiting G protein-coupled glutamate receptor activity	3/2969	12/14597	0.25	1.22911754799596	0.401204017981032	0.453696083854421	0.999999862227987	0.961263786856635	LOC_00018079/LOC_00015792/LOC_00018894	3
GO:0004623	Phospholipase A2 activity	3/2969	12/14597	0.25	1.22911754799596	0.401204017981032	0.453696083854421	0.999999862227987	0.961263786856635	LOC_00003234/LOC_00009497/LOC_00014435	3
