motif_id	motif_name	tf_class
MA0480.3	Foxo1	FOX
MA1937.2	ERF::HOXB13	Ets-related
MA0058.4	MAX	bHLH-ZIP
MA1938.2	ERF::NHLH1	Ets-related
MA0048.3	NHLH1	Tal-related
MA1939.2	ERF::SREBF2	Ets-related
MA0474.4	Erg	Ets-related
MA0112.4	ESR1	Steroid hormone receptors (NR3)
MA0592.4	ESRRA	Steroid hormone receptors (NR3)
MA0141.4	ESRRB	Steroid hormone receptors (NR3)
MA0643.2	Esrrg	Steroid hormone receptors (NR3)
MA0644.3	ESX1	Paired-related HD factors
MA0098.4	ETS1	Ets-related
MA1484.2	ETS2	Ets-related
MA0761.3	ETV1	Ets-related
MA0762.2	ETV2	Ets-related
MA1940.2	ETV2::DRGX	Ets-related
MA1941.2	ETV2::FIGLA	Ets-related
MA1942.2	ETV2::FOXI1	Ets-related
MA1943.2	ETV2::HOXB13	Ets-related
MA0763.2	ETV3	Ets-related
MA0764.4	ETV4	Ets-related
MA0765.4	ETV5	Ets-related
MA1944.2	ETV5::DRGX	Ets-related
MA1945.2	ETV5::FIGLA	Ets-related
MA1946.2	ETV5::FOXI1	Ets-related
MA1947.2	ETV5::FOXO1	Ets-related
MA1948.2	ETV5::HOXA2	Ets-related
MA0900.3	HOXA2	HOX
MA0645.2	ETV6	Ets-related
MA0887.2	EVX1	HOX
MA0888.2	EVX2	HOX
MA0156.4	FEV	Ets-related
MA0475.3	FLI1	Ets-related
MA1949.2	FLI1::DRGX	Paired-related HD factors
MA1950.2	FLI1::FOXI1	Ets-related
MA0476.2	FOS	Fos-related
MA1951.2	FOS	Fos-related
MA0099.4	FOS::JUN	Fos-related
MA1126.2	FOS::JUN	Fos-related
MA1134.2	FOS::JUNB	Fos-related
MA1140.3	JUNB	Jun-related
MA0490.3	JUNB	Jun-related
MA1141.2	FOS::JUND	Fos-related
