gene_id	mean_beta	n_cpgs	expression	prom_beta	exon_beta	down_beta	intron_beta
LOC_00018508	0.926920857242984	749	7.27282545055032	0.00350253004427577	0.732478731696744	0.882595738456126	0.946871556370293
LOC_00018509	0.851743594993097	576	11.9931302125947	0.00334084084084084	0.844092741354524	0.842443738681453	0.853828582907486
LOC_00018510	0.769569952043329	241	8.90943407940806	0.780684700717733	0.762163673786073	0.823157719736393	0.847204903956274
LOC_00018511	0.760390211765954	187	9.34831283929173	0.529512902520486	0.800941644084554	0.733056146240733	0.729487000330548
LOC_00018512	0.736375553417069	163	3.7348006393528	0.00256648636466081	0.472001025417012	0.75968015469645	0.784176020779975
LOC_00018513	0.877589075687153	237	11.6457304065447	0.00279049654049654	0.875343766163095	0.895355867282393	0.885499396114064
LOC_00018514	0.874899088256836	378	8.02268940459182	0.430213523241449	0.908261328476656	0.91890386970255	0.865315882204675
LOC_00018515	0.814074034668991	176	9.1564587467349	0.469185535396836	0.763113767370096	0.0866451457355695	0.830046655762674
LOC_00018516	0.767790084839849	292	11.0430536732301	0.000925925925925926	0.787607351687969	0.0177138447971781	0.762482992656153
LOC_00018517	0.00293637696261234	383	4.97922325190806	0.00383448083571236	0.00435694342904969	0.199590301814406	0.00259958242491736
LOC_00018519	0.855425572686704	197	9.02523300178479	0.00448028673835125	0.623431158629279	0.73926215456673	0.91639846356077
LOC_00018520	0.90457254985653	561	7.20396506184063	0.00383986928104575	0.696775430403077	0.133364326825341	0.924422989912889
LOC_00018521	0.875260151266679	874	5.57541741486515	0.00826046236966586	0.886530593613271	0.693505495689192	0.87432247336295
LOC_00018523	0.825734330661831	238	5.35263711366399	0.0143326588286266	0.684549840237799	0.832143222088776	0.849001747269099
LOC_00018524	0.437425337654795	688	11.3267893848584	0.0036528738417363	0.725080710538547	0.875379886619646	0.422933283384922
LOC_00018525	0.790320451238031	206	5.56153013886837	0.0390261220604273	0.799163601758923	0.769686706063816	0.781814182641746
LOC_00018526	0.701730814167359	31	1.66663634168917	0.581889574811383	0.701730814167359	0.707890929863211	
LOC_00018527	0.504871102480394	884	1.79392011590493	0	0.508390288960047	0.542728492466407	0.503297815127689
LOC_00018528	0.713509301455407	76	7.62095120335894	0.000912975912975913	0.576906220262774	0.66869795150053	0.873530053709635
LOC_00018529	0.00418013813565741	1561	7.70257003799723	0.00193708405474233	0.010314856228406	0.281463241151062	0.00367937538090454
LOC_00018530	0.00366864927789298	140	5.78509344073592	0.00278293135435993	0.0090461262875056	0	0.00234834800530238
LOC_00018531	0.199174185523784	2153	9.53611781684715	0.00453514739229025	0.735732338831258	0.280577516065132	0.173465583506612
LOC_00018532	0.91160882789634	467	9.70811364917898	0.00413636744519098	0.897549328030265	0.430130402310373	0.933437345553937
LOC_00018533	0.0120632979696935	3723	3.98949341412649	0.0038553173056097	0.138085486739143	0.718606430596109	0.00969114157176988
LOC_00018534	0.827329116008002	150	8.64171004259781	0.454431230053769	0.729293275978684	0.889363294289016	0.854980250375246
LOC_00018535	0.845089365454621	394	8.80989067542048	0.405209969140007	0.829089859718403	0.896900530224116	0.86537562918786
LOC_00018536	0.872371029386469	467	8.18420128856148	0.00349597031795174	0.883931363556794	0.815228803343007	0.869496400836094
LOC_00018537	0.00252517465548059	1058	6.63476796122476	0.00111788617886179	0	0.00329242143851339	0.00256887960144083
LOC_00018538	0.0033311836761253	1004	7.73277419569468	0.0035792094615624	0.00349513683741152	0.0104798904798905	0.00331124123070897
LOC_00018539	0.27981224361086	434	4.37119591667903	0.0025316187080893	0.614296470696677	0.797753343318617	0.17033502026395
LOC_00018540	0.59654782458944	744	7.70678340390548	0.00197004862953139	0.777692649536534	0.868180635347313	0.563369463578978
LOC_00018541	0.936427410315751	1690	11.3803020395274	0.00462212358683742	0.940649937819425	0.458266453864088	0.940196734690925
LOC_00018545	0.0226072808841564	314	1.09280861094291	0.00188908313908314	0.0039015606242497	0.00988021751910641	0.0249538766156859
LOC_00018546	0.580246699013815	164	4.97552683631764	0.00536092406853032	0.322495641203857	0.00249287749287749	0.716278558917826
LOC_00018547	0.846702474380589	317	8.58303341099783	0.00321200884725475	0.843308099659893	0.905141949620639	0.861362953035836
LOC_00018548	0.182229424085995	1363	8.53982277386277	0.00159438775510204	0.72535213402348	0.892984621568886	0.133729444832925
LOC_00018549	0.00378413319533068	485	1.31170329937712	0.00166731166150671	0.00412163593981776	0.00331541218637993	0.00370932150385747
LOC_00018550	0.871147048125737	267	10.139713719997	0.00585106382978723	0.872939795113976	0.514540361599185	0.837635418839531
LOC_00018551	0.909223713067521	360	13.4054107800326	0.00227657225461073	0.882340022820656	0.942307335876281	0.92401177817057
LOC_00018552	0.359178365843612	714	12.4256019348831	0.00328631350802528	0.742504066509991	0.945582173628768	0.309803423543404
LOC_00018553	0.856517707624175	362	9.8436652681961	0.00117753623188406	0.7787666683747	0.00597590702328249	0.891139635717355
LOC_00018554	0.932856330155038	446	9.17860492858851	0.00416813639035861	0.922098273198848	0.84776085386463	0.937811738397661
LOC_00018556	0.0355299018154385	2433	5.51162711000605	0.00257378000047363	0.428196818166029	0.809757762974355	0.0149794273870555
LOC_00018557	0.851354231469321	3	2.72969159827881	0.812278033171315	0.851354231469321	0.737809328690166	
LOC_00018558	0.00483966477900507	877	1.07614286665468	0.00293126684636119	0.00105042016806723	0.00744346233476668	0.00506028916594672
LOC_00018559	0.836924282173948	188	11.6490231152815	0.00232155232155232	0.87535068308866	0.845807028614656	0.870720060083303
LOC_00018560	0.716012112043091	165	10.1579262232546	0.00424808932193567	0.668740143644628	0.00284313725490196	0.737160097905561
LOC_00018561	0.00367153568689968	862	6.68576937528599	0.00519498139046072	0.00443268669514507	0.00267379679144385	0.00362410654903905
LOC_00018562	0.00366303794125566	657	0.932623939810295	0.00474343777915207	0.00381436745073109	0.00560727034192508	0.00365779502911635
LOC_00018563	0.00343346401843518	2051	14.0846748202406	0.00160921702136872	0.00418161003304228	0.00267754160487725	0.00342177184936963
LOC_00018564	0.0313138172141882	2017	12.881680567833	0.00220588235294118	0.00593339224913475	0.869450573325057	0.0335518935331181
LOC_00018565	0.143410320307836	1419	7.22832156086649	0.00276274841048375	0.590821740112364	0.713781415612694	0.125238774644491
LOC_00018566	0.350995548219644	1304	7.84100177504219	0.00556070143139109	0.780429756247835	0.0492481837812075	0.313753668496204
