gene_id	mean_beta	n_cpgs	expression
LOC_00005990	0.847238655430329	313	9.85050032957966
LOC_00005991	0.0046875	28	2.78961079227351
LOC_00005992	0.829667306087433	265	12.21852267519
LOC_00005993	0.947619047619048	1	3.30930013751204
LOC_00005994	0.849093289605884	502	8.13311905743169
LOC_00005995	0.79109979765495	355	6.80201418512873
LOC_00005996	0.00377550670464535	585	5.94199137198076
LOC_00005998	0	4	4.71618999161838
LOC_00005999	0.00343798122325643	1128	6.24921669136155
LOC_00006001	0.00617783422028705	53	2.48953902455628
LOC_00006002	0.00383403578329104	2832	5.92461538123252
LOC_00006003	0.125307386498572	181	1.97074766709575
LOC_00006004	0.733637163332064	294	5.18703002889614
LOC_00006005	0.875452568775126	211	9.0871220033315
LOC_00006006	0.555232190792882	109	7.43416788085586
LOC_00006007	0.00286344612569658	243	0.932623939810295
LOC_00006008	0.0829506150921326	1234	8.67832196688748
LOC_00006009	0.03094799757726	3061	5.8519255727955
LOC_00006010	0.0667788758286739	1163	6.81593516661675
XLOC_012630U_lncRNA	0.00151133040935673	72	1.40418418172617
LOC_00006011	0.840720257942763	212	6.7910967195706
LOC_00006012	0.00344946464161648	492	6.84143954445818
LOC_00006013	0.0022053967531215	159	3.1987303240232
LOC_00006014	0.00352076045818718	545	5.49144072795287
LOC_00006015	0.00260416666666667	12	3.58540869728957
LOC_00006017	0.782239637490927	535	5.73188477935249
LOC_00006018	0.88974086185136	325	8.03947044168914
LOC_00006019	0.878697061082518	637	8.70237318212305
LOC_00006020	0.857139834065446	192	2.67766715947946
LOC_00006021	0.0882511585565747	1716	2.56450791629068
LOC_00006022	0.882206815470808	924	9.27950411808973
LOC_00006023	0.803828938581944	106	4.93419929536445
LOC_00006024	0.885096893430369	219	10.1593871500081
LOC_00006025	0.864781995074079	336	7.48514300902918
LOC_00006026	0.857187767104974	58	8.26344684585071
LOC_00006027	0.00304164852355442	7989	3.86076063555506
LOC_00006028	0.78069525254626	248	6.22316495131444
LOC_00006029	0.902235744556301	494	6.42415481013209
LOC_00006030	0.855684974143256	283	7.08435268013911
LOC_00006031	0.439665421456079	961	9.94147916878426
LOC_00006032	0.00486328937393245	497	4.04345051094158
LOC_00006033	0.793216364362584	154	5.94874157737191
LOC_00006034	0.784546985759342	440	6.30278313621151
