gene_id	module
LOC_00002345	turquoise
LOC_00002346	yellow
LOC_00002348	turquoise
LOC_00002349	blue
LOC_00002350	black
LOC_00002351	green
LOC_00002352	pink
LOC_00002356	turquoise
LOC_00002357	yellow
LOC_00002359	black
LOC_00002360	yellow
LOC_00002361	brown
LOC_00002362	brown
LOC_00002363	turquoise
LOC_00002365	turquoise
LOC_00002366	greenyellow
LOC_00002368	turquoise
LOC_00002369	yellow
LOC_00002370	yellow
LOC_00002371	brown
LOC_00002373	blue
LOC_00002374	brown
LOC_00002375	blue
LOC_00002376	turquoise
LOC_00002378	turquoise
LOC_00002379	pink
LOC_00002380	turquoise
LOC_00002382	red
LOC_00002384	turquoise
LOC_00002387	turquoise
LOC_00002388	red
LOC_00002389	turquoise
LOC_00002390	salmon
LOC_00002391	green
LOC_00002392	turquoise
LOC_00002395	yellow
LOC_00002396	cyan
LOC_00002400	blue
LOC_00002402	pink
LOC_00002404	brown
LOC_00002405	lightgreen
LOC_00002406	brown
LOC_00002407	yellow
LOC_00002408	turquoise
LOC_00002409	turquoise
LOC_00002410	blue
LOC_00002411	black
LOC_00002412	black
LOC_00002413	greenyellow
LOC_00002414	green
LOC_00002415	green
LOC_00002417	grey
LOC_00002418	red
LOC_00002420	yellow
LOC_00002421	greenyellow
LOC_00002423	brown
LOC_00002425	blue
LOC_00002427	green
LOC_00002429	red
LOC_00002431	turquoise
LOC_00002432	turquoise
LOC_00002434	turquoise
LOC_00002435	turquoise
LOC_00002436	red
LOC_00002438	turquoise
LOC_00002439	black
LOC_00002440	cyan
LOC_00002441	turquoise
LOC_00002442	brown
LOC_00002443	turquoise
LOC_00002444	green
LOC_00002445	grey
LOC_00002447	grey
LOC_00002448	black
LOC_00002449	grey
LOC_00002450	turquoise
LOC_00002451	black
LOC_00002453	brown
LOC_00002454	turquoise
LOC_00002455	pink
LOC_00002456	turquoise
LOC_00002457	red
LOC_00002458	yellow
LOC_00002459	blue
LOC_00002460	turquoise
LOC_00002463	red
LOC_00002465	yellow
LOC_00002466	turquoise
LOC_00002469	green
LOC_00002470	blue
LOC_00002471	turquoise
LOC_00002472	purple
LOC_00002473	turquoise
LOC_00002474	turquoise
LOC_00002475	turquoise
LOC_00002476	turquoise
LOC_00002477	turquoise
LOC_00002478	brown
LOC_00002479	red
LOC_00002480	yellow
LOC_00002482	red
LOC_00002483	red
LOC_00002484	red
LOC_00002487	magenta
LOC_00002488	midnightblue
LOC_00002490	yellow
LOC_00002491	brown
LOC_00002494	red
LOC_00002495	turquoise
