ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	module
GO:0071396	Cellular response to lipid	15/1264	49/10468	0.306122448979592	2.53519762335314	3.99158750484318	0.000451350131196931	0.0163101524682528	0.0146130903720857	LOC_00000528/LOC_00002533/LOC_00007203/LOC_00008755/LOC_00011002/LOC_00011181/LOC_00011182/LOC_00012870/LOC_00013467/LOC_00014735/LOC_00019902/LOC_00020966/LOC_00020967/LOC_00020970/LOC_00024051	15	blue
GO:0030335	Positive regulation of cell migration	19/1264	70/10468	0.271428571428571	2.24787522603978	3.88187565890499	0.000464634783167037	0.0165396113112445	0.0148186741528529	LOC_00005445/LOC_00005933/LOC_00005942/LOC_00006826/LOC_00008226/LOC_00010105/LOC_00011889/LOC_00012635/LOC_00012870/LOC_00015260/LOC_00015274/LOC_00018906/LOC_00021062/LOC_00021068/LOC_00021071/LOC_00021074/LOC_00021075/LOC_00021079/LOC_00023867	19	blue
GO:0052548	Regulation of endopeptidase activity	22/1264	87/10468	0.252873563218391	2.09420922450167	3.79784071908435	0.000507003811105903	0.0177824130806997	0.0159321631044115	LOC_00000135/LOC_00000906/LOC_00005311/LOC_00005445/LOC_00005942/LOC_00007140/LOC_00007296/LOC_00007750/LOC_00010205/LOC_00011002/LOC_00016858/LOC_00017314/LOC_00017745/LOC_00018042/LOC_00018084/LOC_00018761/LOC_00020364/LOC_00020966/LOC_00020967/LOC_00020970/LOC_00022541/LOC_00023570	22	blue
GO:0040017	Positive regulation of locomotion	20/1264	76/10468	0.263157894736842	2.17938041305796	3.82390841392754	0.000516860677257827	0.0178654016704336	0.0160065167785414	LOC_00005445/LOC_00005933/LOC_00005942/LOC_00006826/LOC_00008226/LOC_00010105/LOC_00011889/LOC_00012091/LOC_00012635/LOC_00012870/LOC_00015260/LOC_00015274/LOC_00018906/LOC_00021062/LOC_00021068/LOC_00021071/LOC_00021074/LOC_00021075/LOC_00021079/LOC_00023867	20	blue
GO:0030206	Chondroitin sulfate biosynthetic process	7/1264	14/10468	0.5	4.14082278481013	4.35775236075072	0.000584298759488629	0.0196275005828223	0.0175852703003991	LOC_00006765/LOC_00007948/LOC_00008871/LOC_00020874/LOC_00021461/LOC_00022627/LOC_00024267	7	blue
GO:1900027	Regulation of ruffle assembly	7/1264	14/10468	0.5	4.14082278481013	4.35775236075072	0.000584298759488629	0.0196275005828223	0.0175852703003991	LOC_00003941/LOC_00005053/LOC_00007203/LOC_00009549/LOC_00018906/LOC_00020467/LOC_00023867	7	blue
GO:0030334	Regulation of cell migration	29/1264	129/10468	0.224806201550388	1.86176528309293	3.64956351056928	0.000610370002783885	0.0202185063422162	0.0181147822463638	LOC_00003941/LOC_00004660/LOC_00005445/LOC_00005933/LOC_00005942/LOC_00006826/LOC_00007203/LOC_00008226/LOC_00010105/LOC_00010491/LOC_00011889/LOC_00012635/LOC_00012870/LOC_00013467/LOC_00013951/LOC_00015260/LOC_00015274/LOC_00018906/LOC_00019692/LOC_00020336/LOC_00021062/LOC_00021068/LOC_00021071/LOC_00021074/LOC_00021075/LOC_00021079/LOC_00023149/LOC_00023867/LOC_00023920	29	blue
GO:0034764	Positive regulation of transmembrane transport	8/1264	18/10468	0.444444444444444	3.68073136427567	4.21820562959807	0.000632301338425782	0.0206580642759656	0.018508604426883	LOC_00007140/LOC_00007750/LOC_00013573/LOC_00015096/LOC_00017365/LOC_00018906/LOC_00020205/LOC_00023867	8	blue
GO:0010810	Regulation of cell-substrate adhesion	11/1264	31/10468	0.354838709677419	2.93864842792977	4.00579210775239	0.000645641812689506	0.0208088611251956	0.0186437109496401	LOC_00002662/LOC_00003941/LOC_00008753/LOC_00011889/LOC_00012635/LOC_00021062/LOC_00021068/LOC_00021071/LOC_00021074/LOC_00021075/LOC_00021079	11	blue
GO:0050776	Regulation of immune response	31/1264	142/10468	0.21830985915493	1.80796487787484	3.59225318372059	0.000684789279768239	0.02177629909663	0.0195104875498881	LOC_00000174/LOC_00000304/LOC_00000334/LOC_00000405/LOC_00000411/LOC_00000528/LOC_00000754/LOC_00000757/LOC_00000764/LOC_00000868/LOC_00000872/LOC_00002533/LOC_00005445/LOC_00006051/LOC_00006052/LOC_00006826/LOC_00007203/LOC_00007750/LOC_00008755/LOC_00010220/LOC_00010224/LOC_00012870/LOC_00012894/LOC_00014735/LOC_00015749/LOC_00018906/LOC_00020361/LOC_00023867/LOC_00024014/LOC_00024051/LOC_00024166	31	blue
GO:0032956	Regulation of actin cytoskeleton organization	22/1264	89/10468	0.247191011235955	2.0471483430522	3.67639190584632	0.000708457633226002	0.0222325191479476	0.0199192381641106	LOC_00003097/LOC_00003783/LOC_00004606/LOC_00007203/LOC_00007548/LOC_00008372/LOC_00008898/LOC_00009549/LOC_00011889/LOC_00013248/LOC_00015260/LOC_00015274/LOC_00017379/LOC_00018552/LOC_00019402/LOC_00020467/LOC_00022579/LOC_00023149/LOC_00024442/LOC_00024872/LOC_00025265/LOC_00025440	22	blue
GO:0030162	Regulation of proteolysis	32/1264	149/10468	0.214765100671141	1.7786084444822	3.54723353574028	0.000761917162534989	0.0235996419824149	0.0211441126445117	LOC_00000135/LOC_00000687/LOC_00000690/LOC_00000906/LOC_00005311/LOC_00005445/LOC_00005942/LOC_00006826/LOC_00007140/LOC_00007296/LOC_00007750/LOC_00008755/LOC_00010205/LOC_00011002/LOC_00012870/LOC_00016302/LOC_00016858/LOC_00017314/LOC_00017720/LOC_00017745/LOC_00018042/LOC_00018084/LOC_00018761/LOC_00018906/LOC_00020364/LOC_00020966/LOC_00020967/LOC_00020970/LOC_00022541/LOC_00023127/LOC_00023570/LOC_00023867	32	blue
