decile	bin	mean_beta	mean_beta_a	n
D04	620	28.17531048887	28.0033634930649	357
D04	580	24.7864868917485	25.3275283087882	337
D04	530	16.1030592494261	15.8570491349237	376
D04	310	2.80876220265298	3.07531595119045	410
D04	250	2.8233500685786	2.81870434391983	396
D04	120	2.28021076916253	2.26233440129395	461
D04	-1820	12.7447918675007	12.5865639898185	358
D07	-3790	16.1835627096545	16.2195236671207	384
D04	-1900	11.4321492950072	11.7926069503577	361
D07	-3700	12.0214128165999	12.07862958267	363
D04	-1970	11.1056749091118	10.8607679740851	357
D07	-3640	14.3862459833776	13.9389243346804	357
D04	-1980	11.8774316871019	11.6166666150868	371
D07	-3630	15.612557593828	15.6025497200003	396
D04	-2010	12.0992095629477	12.0503196281262	355
D07	-3600	17.0809020138006	17.0878875724893	358
D04	-2020	14.1622625441807	14.0923993437351	384
D07	-3590	12.0114432710539	12.254911539198	372
D04	-2030	10.8715781743263	10.8099013936343	363
D07	-3580	14.2403383627434	14.2978408055368	412
D07	-3570	16.7380402631703	16.8879940192767	395
D04	-2060	13.8052684019824	13.6532986565934	373
D04	-2070	12.8327824678993	12.6280715659723	383
D07	-3540	12.128909708362	11.9897463579435	396
D04	-2080	12.2926288012189	12.4651191220791	354
D07	-3530	14.5216811946637	14.3687899260812	406
D04	-2200	10.8834349480203	10.8012281040639	318
D07	-3410	15.2987648404955	14.7255613024819	364
D04	-2270	12.521962182237	12.83525203497	363
D07	-3340	12.0584859227305	12.0324599679994	389
D04	-2280	12.8671241534346	13.0312967805781	333
D07	-3330	13.3904110834453	13.6181681467313	376
D04	-2290	13.6860398640441	13.5240548860698	378
D07	-3310	12.5261235260381	12.6582754835503	379
D04	-2320	12.8497186265674	12.6084245375411	348
D07	-3280	12.6740195750021	12.771122533855	360
D04	-2380	13.5084218296436	13.3671320745873	334
D07	-3230	13.7687530555964	13.9629081140889	391
D04	-2520	12.1658513499004	12.4754040501304	387
D07	-3080	13.9457031287562	14.1089547190574	370
D04	-2580	11.829664322279	11.7521794666256	343
D07	-3020	13.7648391612105	13.9386120456011	393
D04	-2590	13.7900734372206	13.6576018161408	357
D04	-2610	13.7463436740019	13.814258209312	338
D07	-2990	11.4821710566157	11.5449790263204	398
D04	-2620	11.2918168753286	11.3360573969822	357
D04	-2630	10.7748285393978	10.9494751591813	332
D04	-2670	14.1752033899661	13.9936699207645	350
D04	-2720	8.4007195906058	8.42403864284848	335
D07	-2890	14.5455028968695	14.5999266554124	408
D04	-2740	10.0287005479201	9.94190189502307	367
D07	-2870	13.111666927996	12.665390481561	375
D04	-2900	14.2162664413893	14.5554804662985	355
D07	-2700	12.5649105977304	12.470909190486	395
D04	-3010	12.1776195145971	12.555716547505	359
D07	-2600	12.7670667092843	12.9291935271056	366
D04	-3060	14.0816907892484	13.8801576493599	360
D04	-3070	13.577897953297	13.7451781692151	372
D07	-2540	12.2296490215664	12.2023977115866	391
D04	-3130	13.2142709085528	13.2407276688905	335
D07	-2480	13.604450742857	13.3731809809661	386
D04	-3170	16.0087815811978	16.5787110570367	327
D04	-3200	14.6289851454467	14.6263158704631	345
D07	-2400	10.376281020258	10.3002975247082	387
D04	-3240	13.1040216495758	12.831279097213	347
D04	-3310	16.6997957269556	16.9618422428139	359
D07	-2300	11.2341262180164	11.4680810145894	362
D04	-3690	13.1921674254203	13.4167383505623	333
D07	-1920	12.1229675080769	12.1754087532255	412
D04	-3730	16.9819272120863	16.8144545599918	313
D07	-1870	10.2087897041076	10.6443065402203	428
D04	-3860	17.7540944727206	18.2181829994392	358
D07	-1750	9.81942511779251	10.0037350636337	413
D04	-3870	14.6172823667641	14.7375612551872	342
