motif_name	OR	p	n_spike	n_flank	padj	log2OR	neglog10p
Ets96B	0	1	2740	0	1	-6.64385618977472	0
Ets97D	0	1	3184	0	1	-6.64385618977472	0
Ets98B	0	1	1628	0	1	-6.64385618977472	0
fd59A	0	1	6782	0	1	-6.64385618977472	0
Fer1	0	1	3487	0	1	-6.64385618977472	0
Fer2	0	1	3713	0	1	-6.64385618977472	0
FoxL1	0	1	3174	0	1	-6.64385618977472	0
foxo	0	1	3321	0	1	-6.64385618977472	0
FoxP	0	1	5464	0	1	-6.64385618977472	0
GATAe	0	1	2026	0	1	-6.64385618977472	0
gsb	0	1	2014	0	1	-6.64385618977472	0
Hey	0	1	7333	0	1	-6.64385618977472	0
HLH4C	0	1	2667	0	1	-6.64385618977472	0
Hnf4	0	1	3629	0	1	-6.64385618977472	0
Hr38	0	1	5008	0	1	-6.64385618977472	0
Hr39	0	1	3181	0	1	-6.64385618977472	0
Hr78	0	1	2925	0	1	-6.64385618977472	0
Jra	0	1	1852	0	1	-6.64385618977472	0
Kah	0	1	3803	0	1	-6.64385618977472	0
kay	0	1	1322	0	1	-6.64385618977472	0
ken	0	1	3852	0	1	-6.64385618977472	0
klu	0	1	4767	0	1	-6.64385618977472	0
knrl	0	1	2590	0	1	-6.64385618977472	0
lmd	0	1	5823	0	1	-6.64385618977472	0
luna	0	1	4446	0	1	-6.64385618977472	0
lz	0	1	3269	0	1	-6.64385618977472	0
Max	0	1	7644	0	1	-6.64385618977472	0
mid	0	1	2375	0	1	-6.64385618977472	0
Mitf	0	1	6278	0	1	-6.64385618977472	0
Mnt	0	1	2565	0	1	-6.64385618977472	0
org-1	0	1	2384	0	1	-6.64385618977472	0
pdm3	0	1	2132	0	1	-6.64385618977472	0
phol	0	1	4756	0	1	-6.64385618977472	0
pnt	0	1	3246	0	1	-6.64385618977472	0
Poxm	0	1	2157	0	1	-6.64385618977472	0
Rel	0	1	4792	0	1	-6.64385618977472	0
retn	0	1	10483	0	1	-6.64385618977472	0
Rfx	0	1	2089	0	1	-6.64385618977472	0
rib	0	1	4065	0	1	-6.64385618977472	0
sage	0	1	4353	0	1	-6.64385618977472	0
sc	0	1	2678	0	1	-6.64385618977472	0
scrt	0	1	4118	0	1	-6.64385618977472	0
sens	0	1	3738	0	1	-6.64385618977472	0
slp2	0	1	3688	0	1	-6.64385618977472	0
Sox102F	0	1	2888	0	1	-6.64385618977472	0
Sox14	0	1	5577	0	1	-6.64385618977472	0
Sox15	0	1	4092	0	1	-6.64385618977472	0
Sox21a	0	1	3729	0	1	-6.64385618977472	0
Sox21b	0	1	4077	0	1	-6.64385618977472	0
SoxN	0	1	3540	0	1	-6.64385618977472	0
Sp1	0	1	3646	0	1	-6.64385618977472	0
Spps	0	1	4728	0	1	-6.64385618977472	0
SREBP	0	1	5234	0	1	-6.64385618977472	0
srp	0	1	2746	0	1	-6.64385618977472	0
ss	0	1	3531	0	1	-6.64385618977472	0
sug	0	1	3554	0	1	-6.64385618977472	0
svp	0	1	3376	0	1	-6.64385618977472	0
TfAP-2	0	1	1594	0	1	-6.64385618977472	0
tj	0	1	3073	0	1	-6.64385618977472	0
toy	0	1	2649	0	1	-6.64385618977472	0
Usf	0	1	6325	0	1	-6.64385618977472	0
vri	0	1	2297	0	1	-6.64385618977472	0
wor	0	1	3731	0	1	-6.64385618977472	0
Xbp1	0	1	2390	0	1	-6.64385618977472	0
Xrp1	0	1	2127	0	1	-6.64385618977472	0
ac	0	1	2738	0	1	-6.64385618977472	0
aop	0	1	2194	0	1	-6.64385618977472	0
BtbVII	0	1	5988	0	1	-6.64385618977472	0
CG3065	0	1	4495	0	1	-6.64385618977472	0
CG4854	0	1	3670	0	1	-6.64385618977472	0
CG8319	0	1	3601	0	1	-6.64385618977472	0
clk	0	1	1823	0	1	-6.64385618977472	0
Crg-1	0	1	5742	0	1	-6.64385618977472	0
crp	0	1	2071	0	1	-6.64385618977472	0
cwo	0	1	1252	0	1	-6.64385618977472	0
cyc	0	1	2168	0	1	-6.64385618977472	0
D1	0	1	6725	0	1	-6.64385618977472	0
D19B	0	1	2023	0	1	-6.64385618977472	0
da	0	1	6636	0	1	-6.64385618977472	0
ewg	0	1	1851	0	1	-6.64385618977472	0
fru	0	1	2648	0	1	-6.64385618977472	0
ftz-f1	0	1	2111	0	1	-6.64385618977472	0
grn	0	1	4474	0	1	-6.64385618977472	0
hng1	0	1	649	0	1	-6.64385618977472	0
hr3	0	1	3264	0	1	-6.64385618977472	0
insv	0	1	1212	0	1	-6.64385618977472	0
l(3)neo38	0	1	6751	0	1	-6.64385618977472	0
nau	0	1	6636	0	1	-6.64385618977472	0
pita	0	1	2759	0	1	-6.64385618977472	0
run	0	1	2049	0	1	-6.64385618977472	0
Sox100B	0	1	1318	0	1	-6.64385618977472	0
tx	0	1	6636	0	1	-6.64385618977472	0
ZIPIC	0	1	4404	0	1	-6.64385618977472	0
