decile	bin	mean_cpg_per_bin	cpg_per_kb
D07	-2430	1.0948275862069	109.48275862069
D07	-2410	1.12765957446809	112.765957446809
D07	-2370	1.12631578947368	112.631578947368
D07	-2340	1.13192612137203	113.192612137203
D07	-2310	1.12893982808023	112.893982808023
D07	-2280	1.13802816901408	113.802816901408
D07	-2250	1.11382113821138	111.382113821138
D07	-2230	1.11695906432749	111.695906432749
D07	-2190	1.12874251497006	112.874251497006
D07	-2180	1.09907120743034	109.907120743034
D07	-2170	1.11263736263736	111.263736263736
D07	-2080	1.12290502793296	112.290502793296
D07	-2020	1.11614730878187	111.614730878187
D07	-2010	1.14689265536723	114.689265536723
D07	-1980	1.10511363636364	110.511363636364
D07	-1930	1.12968299711816	112.968299711816
D07	-1470	1.1331592689295	113.31592689295
D07	-1460	1.09022556390977	109.022556390977
D07	-1370	1.0978835978836	109.78835978836
D07	-1320	1.14444444444444	114.444444444444
D07	-1290	1.10891089108911	110.891089108911
D07	-1220	1.1195652173913	111.95652173913
D07	-1160	1.15277777777778	115.277777777778
D07	-1100	1.08571428571429	108.571428571429
D07	-70	1.15748031496063	115.748031496063
D07	170	1.15236051502146	115.236051502146
D07	190	1.16666666666667	116.666666666667
D07	230	1.14628820960699	114.628820960699
D07	280	1.1462829736211	114.62829736211
D07	350	1.10769230769231	110.769230769231
D07	400	1.15245478036176	115.245478036176
D07	410	1.15193370165746	115.193370165746
D07	470	1.12275449101796	112.275449101796
D07	540	1.10115606936416	110.115606936416
D07	550	1.13650793650794	113.650793650794
D07	580	1.11974110032362	111.974110032362
D07	600	1.08250825082508	108.250825082508
D07	610	1.12211221122112	112.211221122112
D07	640	1.10108303249097	110.108303249097
D07	730	1.12371134020619	112.371134020619
D07	770	1.1344262295082	113.44262295082
D07	840	1.08860759493671	108.860759493671
D07	1310	1.11363636363636	111.363636363636
D07	1350	1.12662337662338	112.662337662338
D07	1370	1.08923076923077	108.923076923077
D07	1460	1.08536585365854	108.536585365854
D07	1480	1.11918604651163	111.918604651163
D07	1500	1.10557184750733	110.557184750733
D07	1520	1.11320754716981	111.320754716981
D07	1570	1.12627986348123	112.627986348123
D07	1580	1.11552346570397	111.552346570397
D07	1610	1.11730205278592	111.730205278592
D02	-4720	1.11981566820276	111.981566820276
D02	-4610	1.10880829015544	110.880829015544
D02	-4520	1.1	110
D02	-4430	1.11467889908257	111.467889908257
D02	-4400	1.10952380952381	110.952380952381
D02	-4370	1.12735849056604	112.735849056604
D02	-4350	1.16	116
D02	-4310	1.09478672985782	109.478672985782
D02	-4290	1.16386554621849	116.386554621849
D02	-4250	1.11872146118721	111.872146118722
D02	-4230	1.12376237623762	112.376237623762
D02	-4190	1.10900473933649	110.900473933649
D02	-4170	1.10454545454545	110.454545454545
D02	-4130	1.12621359223301	112.621359223301
D02	-4050	1.125	112.5
D02	-3990	1.11467889908257	111.467889908257
D02	-3960	1.11961722488038	111.961722488038
D02	-2810	1.15	115
D02	-2780	1.12554112554113	112.554112554113
D02	-2750	1.13302752293578	113.302752293578
D02	-2420	1.11111111111111	111.111111111111
D02	-2400	1.14529914529915	114.529914529915
D02	-1750	1.14349775784753	114.349775784753
D02	-1720	1.1219512195122	112.19512195122
D02	-1660	1.11904761904762	111.904761904762
D02	-1190	1.12719298245614	112.719298245614
D02	-1160	1.11587982832618	111.587982832618
D02	-1130	1.12083333333333	112.083333333333
D02	-1100	1.104	110.4
D02	-1070	1.12173913043478	112.173913043478
D02	-1050	1.12612612612613	112.612612612613
D02	-1010	1.10330578512397	110.330578512397
D02	-990	1.10699588477366	110.699588477366
D02	-950	1.1218487394958	112.18487394958
D02	-930	1.16393442622951	116.393442622951
D02	-870	1.14418604651163	114.418604651163
D02	320	1.13377926421405	113.377926421405
D02	330	1.116	111.6
D02	650	1.08154506437768	108.154506437768
