gene_id	n_dmp	mean_diff	n_hyper	n_hypo	log2FoldChange	padj	baseMean	de	meth_direction	gene_name	dmp_bin
LOC_00017350	2	0.344397274746708	2	0	-0.0132957399036257	0.939684196923926	192.259494950811	FALSE	Hyper	mfhas1	2-3
LOC_00017353	3	0.0682552218584027	2	1	-0.175216372596887	0.257972041051767	2928.32276932898	FALSE	Hyper	Ogfrl1	2-3
LOC_00017354	2	0.243769914644642	2	0	-0.144783281406531	0.311182672015426	613.760532546144	FALSE	Hyper	ZNF282	2-3
LOC_00017356	4	-0.0291655654192685	2	2	-0.0443898612393082	0.756114146706913	3814.81039030655	FALSE	Hypo	Ppfibp1	4-5
LOC_00017359	2	-0.267942387446503	0	2	-0.126406105519616	0.380837299923431	355.728868816845	FALSE	Hypo	Bbs2	2-3
LOC_00017369	2	0.20274714474536	2	0	0.0300113059597423	0.850512862977164	434.76298657745	FALSE	Hyper	USH1C	2-3
LOC_00017381	2	0.323068456151543	2	0	-0.249935629863552	0.165907105053772	276.703478743226	FALSE	Hyper	KIF18A	2-3
LOC_00017392	4	-0.168610028682251	0	4	-0.215302376055104	0.182800976278801	320.974529220256	FALSE	Hypo	Fam221a	4-5
LOC_00017398	18	0.192826293159514	18	0	-0.617730055992531	0.01878267886323	128.054356884013	TRUE	Hyper	RTase	>10
LOC_00017399	18	0.192826293159514	18	0	-0.29475281038122	0.0223183432744332	951.446786862056	TRUE	Hyper		>10
LOC_00017401	3	-0.376374708163396	0	3	0.464907964035602	0.00892257689153559	9921.91136539429	TRUE	Hypo	Tubulin	2-3
LOC_00017402	3	0.263695064818253	3	0	0.31223380929485	0.00727324966448659	11045.6397695565	TRUE	Hyper	Vinc	2-3
LOC_00017411	3	0.302535376346002	3	0	-0.168127071695216	0.198381789901516	15950.3776855093	FALSE	Hyper	Tspan7	2-3
LOC_00017418	2	-0.185999437072982	0	2	0.142905980691649	0.272226979793551	754.572121697475	FALSE	Hypo	Recql	2-3
LOC_00017421	8	0.301067548607594	8	0	0.109042395873108	0.458414034597885	277.628040951421	FALSE	Hyper	PLEKHF2	6-10
LOC_00017427	8	0.223962172730624	8	0	-0.132177906719997	0.314996925591291	5420.6390784284	FALSE	Hyper	Bcat2	6-10
LOC_00017430	19	-0.245634245068218	2	17	-0.133446740631861	0.339352648525048	399.10803969021	FALSE	Hypo	SLC45A3	>10
LOC_00017431	2	-0.236670491522144	0	2	0.0331428112890669	0.847956980531392	262.863618112055	FALSE	Hypo		2-3
LOC_00017436	2	0.285107199135673	2	0	0.0368622669772557	0.810588498783195	1300.11725396242	FALSE	Hyper	TET3	2-3
LOC_00017450	1	-0.372862351641567	0	1	-0.123100578657914	0.433439485325523	179.522185136784	FALSE	Hypo	DENND2B	1
LOC_00017454	5	0.41164413026754	5	0	0.074453151786667	0.580977782401601	2493.85006434215	FALSE	Hyper	TSPAN9	4-5
LOC_00017461	1	0.368140448620179	1	0	0.0245654411121232	0.864294897778559	4700.24407789482	FALSE	Hyper	Crk	1
LOC_00017465	2	-0.226387406854899	0	2	-0.0735300973470145	0.610155867246701	662.58933264229	FALSE	Hypo	KIF27	2-3
LOC_00017467	8	-0.220672333858757	0	8	-0.222471380926556	0.109352848887164	3152.72366837848	FALSE	Hypo		6-10
LOC_00017476	3	-0.251210943785596	0	3	-0.255028038294607	0.093431096504336	581.664160815065	FALSE	Hypo	Rsph14	2-3
LOC_00017486	2	0.195325094562977	2	0	0.0154198109540654	0.930816753953671	1981.31501820672	FALSE	Hyper	dnajc5	2-3
LOC_00017487	2	0.195325094562977	2	0	-0.0130105766057795	0.935141452155013	1356.7016672522	FALSE	Hyper		2-3
LOC_00017488	2	0.195325094562977	2	0	-0.0333901641959942	0.830722216224953	60.9343348090009	FALSE	Hyper		2-3
