gene_id	n_dmr	mean_dmr_diff	total_cpgs	log2FoldChange	padj	baseMean	de	meth_direction	gene_name
LOC_00004869	1	-0.215495078473854	7	0.00925506331921027	0.963693096236334	827.943332173138	FALSE	Hypo	Cyth1
LOC_00004870	1	-0.215495078473854	7	0.120503510394152	0.366420914364287	613.510622015407	FALSE	Hypo	EML
LOC_00004880	2	0.247477601510228	17	-0.170867044010785	0.279359155916348	402.587449297127	FALSE	Hyper	Rrh
LOC_00004940	1	-0.30883744334113	4	0.0193365278939162	0.911494558638022	413.633802477869	FALSE	Hypo	
LOC_00004950	1	-0.2072564589217	8	-0.348860533781385	0.109800740259324	93.0664467037388	FALSE	Hypo	
LOC_00004980	1	0.339109477791312	4	0.112080657050064	0.47209274978274	211.347406952434	FALSE	Hyper	Birc5
LOC_00004988	1	-0.16556928433705	5	0.0772907260589907	0.615476272627704	385.611328073886	FALSE	Hypo	Bahcc1
LOC_00005006	1	0.17852017249308	4	0.0346210887043116	0.834998557025799	393.245245676618	FALSE	Hyper	etnppl
LOC_00005007	1	0.17852017249308	4	-0.234930092836703	0.0995958075477613	8235.58363048953	FALSE	Hyper	CASP7
LOC_00005044	1	-0.234332527301893	8	0.117389726655362	0.363713428383636	1267.64127587389	FALSE	Hypo	TSPAN17
LOC_00005118	1	0.284267619576524	9	-0.0565099506273073	0.718875746304755	7161.08459645922	FALSE	Hyper	
LOC_00005130	1	-0.298540730750326	7	0.15600677835915	0.220862302331781	1076.31968699959	FALSE	Hypo	Alyref2
LOC_00005141	1	-0.197298999017423	12	-0.0528903098707179	0.731247727898479	822.655323504556	FALSE	Hypo	Ecd
LOC_00005144	1	0.182367868243185	5	0.0895235614425812	0.563245522226437	834.99903731673	FALSE	Hyper	Ash2l
LOC_00005152	1	0.25273114339311	5	-0.00722313961945955	0.962718070861861	3138.16915949417	FALSE	Hyper	
LOC_00005153	1	0.25273114339311	5	-0.0893709156624394	0.527946914654549	3684.65636069065	FALSE	Hyper	igdb-2
LOC_00005184	1	-0.208347013802287	8	0.843348983485262	0.000000000000447716092367259	6824.04042350245	TRUE	Hypo	Pdlim5
LOC_00005198	1	-0.234188270086013	5	-0.0431381571974049	0.787790120699376	384.301968504304	FALSE	Hypo	RNF2
LOC_00005199	1	-0.234188270086013	5	-0.071041094740995	0.651507353636231	520.684613898562	FALSE	Hypo	e4f1
LOC_00005231	1	-0.289586235870155	16	0.0797789053538582	0.586969128860069	428.040757891319	FALSE	Hypo	B3gntl1
