tf	id	cell	disease	n_cpg_positions	total_cpg_observations	mean_frac_high_meth	mean_frac_low_meth	max_frac_high_at_any_pos	motif_width	methmotif_class
ZEB1	MM1_HSA_GM12878_ZEB1	GM12878	normal	1	12	0	0.9167	0	8	MethylMinus
ZEB2	MM1_HSA_SNU398_ZEB2	SNU398	tumor	7	229	0.193	0.4815	0.2609	15	Intermediate
ZFHX2	MM1_HSA_HEK293_ZFHX2	HEK293	normal	15	25118	0.2797	0.4232	0.4329	19	Intermediate
ZFP3	MM1_HSA_HEK293_ZFP3	HEK293	normal	3	126	0.357	0.3443	0.4375	15	Intermediate
ZFP36	MM1_HSA_K562_ZFP36	K562	tumor	15	891	0.0703	0.6372	0.25	21	MethylMinus
ZFP64	MM1_HSA_HepG2_ZFP64	HepG2	tumor	19	1886	0.1225	0.6122	0.2419	21	MethylMinus
ZFP69B	MM1_HSA_HEK293_ZFP69B	HEK293	normal	4	1527	0.1127	0.6431	0.157	11	MethylMinus
ZFP91	MM1_HSA_K562_ZFP91	K562	tumor	6	282	0.0582	0.6497	0.125	15	MethylMinus
ZFX	MM1_HSA_K562_ZFX	K562	tumor	1	182	0	0.7473	0	8	MethylMinus
ZHX1	MM1_HSA_K562_ZHX1	K562	tumor	14	936	2e-04	0.9553	0.0026	24	MethylMinus
ZIC2	MM1_HSA_HEK293_ZIC2	HEK293	normal	7	2315	0.2084	0.4723	0.341	11	Intermediate
