gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class
LOC_00006617	168	0.0155625115900363	0.0173826505845314	0.00182013899449502	0.00269428261955436	0.00269208476432549	0.541996057065862	0.932623939810295	0.879660139752391	NS
LOC_00006618	254	0.0192562995562187	0.0148765810672507	-0.00437971848896795	0.0031018272581584	0.00237472969760939	0.391549460340393	4.64021088422181	0.807396069337494	NS
LOC_00006619	44	0.00343402544462752	0.02454573752561	0.0211117120809824	0.000494071146245059	0.00393144734053825	0.0584752615656529	0.932623939810295	0.454318417414223	NS
LOC_00006620	776	0.0212025965899871	0.0194196082145745	-0.00178298837541262	0.00351539378062457	0.00324569562092157	0.511082452926441	3.15023074007521	0.866344594343702	NS
LOC_00006623	571	0.0195032534359671	0.017916867780879	-0.00158638565508808	0.00306941225918531	0.00280884317373967	0.779706250074628	9.71485075165202	0.961811530696884	NS
LOC_00006624	2787	0.015874756264013	0.017419252217255	0.00154449595324205	0.00255994631337635	0.00274064025458175	0.338919545329315	3.58091013470978	0.777506216307604	NS
LOC_00006625	8	0.604667948679479	0.539343406640629	-0.0653245420388491	0.827810973372603	0.867553555513114	0.4609375	3.35551981097561	0.842787465029323	NS
LOC_00006626	581	0.255332069760375	0.2481216156957	-0.00721045406467436	0.407448641782321	0.406913143928989	0.276580285351452	5.23078185074962	0.734511635481364	NS
LOC_00006627	1238	0.0175280542237676	0.0154153420865683	-0.00211271213719925	0.00281946829674816	0.00248902031839042	0.402834067071394	0.932623939810295	0.811984547814438	NS
LOC_00006628	416	0.0202650226985751	0.0114774054561668	-0.0087876172424083	0.00316864772652582	0.00185650372005886	0.0645840759743236	1.37363046312334	0.464506918300608	NS
LOC_00006629	250	0.326107256101557	0.322466945400296	-0.00364031070126031	0.897963789072712	0.89900301668191	0.678640571620636	5.39075943172751	0.932473381828751	NS
LOC_00006630	467	0.0196854286951912	0.0188644591177587	-0.000820969577432444	0.00325764983020101	0.00305092826333879	0.68494385645615	1.09280861094291	0.934033889156403	NS
LOC_00006631	1087	0.0186348690292819	0.0194238639976721	0.000788994968390198	0.0031193286433425	0.00307942602697347	0.644058625199807	7.84173061579421	0.920995584110638	NS
LOC_00006632	227	0.0219639575810695	0.0187046175837942	-0.00325933999727537	0.0035632952473723	0.00300024151213596	0.543857859233568	4.52930420339841	0.87992136172412	NS
