gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class	n_exons	gene_class
LOC_00000355	677	0.401365390676392	0.366301235631484	-0.0350641550449081	0.898119328635413	0.910572844677718	0.000202074308756056	5.64905586765733	0.031516162963417	Entropy_Down	8	3+ exon
LOC_00025382	627	0.380114444312636	0.345064635013372	-0.0350498092992644	0.654259539940821	0.662161446555031	0.0000348107306682148	4.54949703220613	0.011496111253055	Entropy_Down	24	3+ exon
LOC_00017691	791	0.515176696377728	0.480361091630079	-0.0348156047476496	0.814195992355803	0.831523310407433	0.00000151979688256027	10.3118837730407	0.00155892067323434	Entropy_Down	184	3+ exon
LOC_00025346	1007	0.341526074022776	0.306883207911428	-0.0346428661113475	0.91942018079069	0.930656430138621	0.0000146434203876884	8.71929467341695	0.00722329278705252	Entropy_Down	227	3+ exon
LOC_00013430	516	0.421079257420916	0.386624960758935	-0.034454296661982	0.892296724212121	0.906197782812004	0.000200841326068063	5.54657956094804	0.031516162963417	Entropy_Down	19	3+ exon
LOC_00006220	1890	0.570601116634634	0.536188383047549	-0.0344127335870854	0.638626728961321	0.659011038228775	0.00000000000021764527746273	7.34654143377129	0.00000000461647398026197	Entropy_Down	260	3+ exon
LOC_00021160	812	0.384144824280658	0.349952715061906	-0.0341921092187522	0.883884897291946	0.896873691660643	0.0000352292315991029	7.71490719042244	0.011496111253055	Entropy_Down	27	3+ exon
LOC_00009207	425	0.322417639194114	0.288237730820764	-0.0341799083733504	0.794194474715219	0.805343341164073	0.000250855289099329	7.60012620138281	0.0361965410686113	Entropy_Down	59	3+ exon
LOC_00007132	369	0.373642575798999	0.33995679603867	-0.0336857797603292	0.868086281808636	0.88012785156984	0.000194793735772579	8.69276803276145	0.0311063361228826	Entropy_Down	13	3+ exon
LOC_00015194	597	0.372110803348986	0.338981015250395	-0.0331297880985907	0.650268008128697	0.65428914855444	0.000114390769663673	6.20694351233317	0.0222600239939098	Entropy_Down	25	3+ exon
LOC_00003774	438	0.412238211883921	0.379179643982301	-0.0330585679016208	0.845299061146513	0.859159106782041	0.000123681465238844	5.8851736046971	0.0234019074980737	Entropy_Down	26	3+ exon
LOC_00025104	860	0.289581722921961	0.25678662406313	-0.0327950988588309	0.911698758014908	0.922673531507081	0.0000605470695448788	10.8527553736292	0.016256504963499	Entropy_Down	127	3+ exon
LOC_00014902	692	0.338696654240192	0.30613800772216	-0.0325586465180318	0.69791271405215	0.706851785187342	0.000222053405432279	7.7049896711406	0.0329368865917767	Entropy_Down	124	3+ exon
LOC_00025857	753	0.414460563595581	0.382628157500387	-0.0318324060951936	0.848963254299328	0.859120704265306	0.000037088770928576	9.71186961510048	0.0119195442449398	Entropy_Down	26	3+ exon
LOC_00020805	739	0.202190671781637	0.170415062323252	-0.0317756094583858	0.349961210325629	0.358985868345361	0.0000175284091068167	5.53654605659746	0.00794838774499674	Entropy_Down	23	3+ exon
LOC_00004880	398	0.137322456049766	0.105749265728883	-0.0315731903208826	0.0790930916632718	0.067234329565166	0.000100234936391986	5.83116472612794	0.020081556657824	Entropy_Down	21	3+ exon
LOC_00016265	893	0.580013384350307	0.548451473534717	-0.0315619108155899	0.798421088149811	0.816670132247432	0.0000000926349206975751	3.64857284381182	0.000178625391174206	Entropy_Down	39	3+ exon
LOC_00024560	838	0.664696240662935	0.633621500356465	-0.0310747403064698	0.696720466487633	0.716262244755628	0.00000766043314985075	5.35009919814266	0.00477898375122013	Entropy_Down	71	3+ exon
LOC_00018281	594	0.453469679805223	0.42264444157923	-0.0308252382259929	0.880267878528876	0.893935894106635	0.000190422837185419	9.33370877845878	0.0308325099201521	Entropy_Down	40	3+ exon
LOC_00019325	811	0.429334020188723	0.398549221063947	-0.0307847991247767	0.875590008001173	0.88475974562869	0.000245189796789583	7.04562922665565	0.035621375203451	Entropy_Down	17	3+ exon
LOC_00009818	468	0.525002559560516	0.494311532729767	-0.0306910268307486	0.798531787139714	0.821937895767009	0.000301893332381357	5.9759107758564	0.0405400819691206	Entropy_Down	7	3+ exon
LOC_00020685	342	0.513543648755693	0.482884582067144	-0.0306590666885488	0.445855507142567	0.4691569502963	0.0000546843871163315	0.932623939810295	0.0154654738016601	Entropy_Down	24	3+ exon
LOC_00024713	525	0.38558134638265	0.354943527186709	-0.0306378191959412	0.526719156251144	0.544146511631385	0.000178551374694253	6.60322144146635	0.0293381468204087	Entropy_Down	66	3+ exon
LOC_00024830	731	0.528077403321901	0.497524010777383	-0.0305533925445175	0.844045913727035	0.860260072608584	0.0000911231318053814	3.91177099105907	0.0197225790686117	Entropy_Down	42	3+ exon
LOC_00012351	441	0.653138681753172	0.622805679132813	-0.0303330026203591	0.725848824833872	0.741856019965071	0.000138222027142001	5.5453664089264	0.0252694126056411	Entropy_Down	54	3+ exon
LOC_00011239	969	0.618032536298361	0.588621484287447	-0.0294110520109143	0.799199852623373	0.81458243811755	0.0000746318240032637	1.24530459706182	0.017950516328704	Entropy_Down	12	3+ exon
LOC_00013425	710	0.515175518036155	0.485945111487674	-0.0292304065484808	0.838499431790886	0.853815593845869	0.000206664884577607	6.47751782295729	0.0317649917882291	Entropy_Down	52	3+ exon
LOC_00002696	1922	0.48113252824493	0.45230172708446	-0.0288308011604699	0.530033793799828	0.54762996408584	0.00000000319671063515174	5.87055755640252	0.0000113009048803673	Entropy_Down	27	3+ exon
LOC_00014657	554	0.179022703341543	0.150466460265121	-0.0285562430764211	0.16007073066271	0.163162360260143	0.00000187260477853031	1.08511992592921	0.00180544636170029	Entropy_Down	15	3+ exon
LOC_00004319	780	0.594708801844047	0.56628286348793	-0.0284259383561174	0.815918514923106	0.829639594554935	0.0000558080428738591	1.5505376663761	0.015492430059842	Entropy_Down	11	3+ exon
LOC_00004032	462	0.632581901350957	0.604392668418841	-0.0281892329321152	0.740473186462358	0.758360274488352	0.000199148836307588	7.32724901796394	0.031516162963417	Entropy_Down	21	3+ exon
LOC_00016310	1286	0.454343581134397	0.426173649565988	-0.0281699315684094	0.841944179987851	0.854565055323327	0.00000813501185997295	12.4945852595907	0.00479310379338573	Entropy_Down	856	3+ exon
LOC_00008204	339	0.681060723248191	0.653302356463231	-0.0277583667849597	0.696892498071054	0.724634434484051	0.000328201235061396	6.25917736743745	0.0424480268102882	Entropy_Down	106	3+ exon
LOC_00025080	274	0.0375160401567364	0.0101697663045677	-0.0273462738521687	0.00875406481259486	0.0016012088338334	0.0000858202113553869	2.96705645242061	0.0191897889646435	Entropy_Down	6	3+ exon
LOC_00004211	779	0.474594672821596	0.448027095662343	-0.0265675771592527	0.835926803870896	0.848398686342243	0.00034893833970542	6.83794238088067	0.0434705515751754	Entropy_Down	75	3+ exon
LOC_00012273	903	0.341078104822441	0.315178333603197	-0.0258997712192443	0.896908280213058	0.906271247873581	0.000195047037119579	6.17102984788837	0.0311063361228826	Entropy_Down	29	3+ exon
LOC_00011580	1622	0.609565027284363	0.583710124115416	-0.0258549031689478	0.804025924191609	0.818758364512462	0.00000104842760104046	4.63877889564012	0.00123545543587051	Entropy_Down	69	3+ exon
LOC_00006262	1277	0.457366000760837	0.432508371176972	-0.0248576295838647	0.867520541402037	0.879683060559355	0.0000150014497350391	6.38658248165802	0.00723172159840715	Entropy_Down	179	3+ exon
LOC_00023034	991	0.48363715040313	0.458847608484219	-0.0247895419189105	0.626934578812187	0.64190182598877	0.0000482176989105059	4.87711309515668	0.0142048001609825	Entropy_Down	41	3+ exon
LOC_00008261	1286	0.661245986715448	0.636519130310759	-0.0247268564046892	0.749970740198591	0.767624405345376	0.00000553041231120544	9.61431014030388	0.00404501984596478	Entropy_Down	186	3+ exon
LOC_00024935	1191	0.369438539793367	0.344929135364656	-0.0245094044287104	0.35467280106423	0.365723608504835	0.00000574650795268684	5.77298709250472	0.00406297267281469	Entropy_Down	124	3+ exon
LOC_00018470	890	0.632823533505369	0.608887973476303	-0.0239355600290666	0.677057699785903	0.691776888770749	0.000219556884225709	7.90301998495783	0.0327959230374051	Entropy_Down	212	3+ exon
LOC_00025806	1949	0.337878780315137	0.314331704889923	-0.0235470754252145	0.901991783197865	0.910782710790874	0.0000114791809813215	5.84759318565982	0.00608712269487028	Entropy_Down	167	3+ exon
